||||Sütunlar|
|||2016|258.0|
|||2017|282.0|
|||2018|325.0|
|||2019|369.0|
|||2020|301.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|217.0|
|||2002|209.0|
|||2003|200.0|
|||2004|189.0|
|||2005|178.0|
|||2006|137.0|
|||2007|175.0|
|||2008|170.0|
|||2009|169.0|
|||2010|164.0|
|||2011|171.0|
|||2012|181.0|
|||2013|182.0|
|||2014|194.0|
|||2015|207.0|
|||2016|177.0|
|||2017|183.0|
|||2018|230.0|
|||2019|274.0|
|||2020|240.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|13.0|
|||2002|19.0|
|||2003|24.0|
|||2004|16.0|
|||2005|29.0|
|||2006|19.0|
|||2007|27.0|
|||2008|25.0|
|||2009|37.0|
|||2010|31.0|
|||2011|28.0|
|||2012|29.0|
|||2013|34.0|
|||2014|40.0|
|||2015|38.0|
|||2016|35.0|
|||2017|52.0|
|||2018|45.0|
|||2019|83.0|
|||2020|63.0|
||Zonguldak, Karabük, Bartın-TR81|2001|181.0|
|||2002|220.0|
|||2003|207.0|
|||2004|197.0|
|||2005|163.0|
|||2006|168.0|
|||2007|149.0|
|||2008|163.0|
|||2009|153.0|
|||2010|160.0|
|||2011|140.0|
|||2012|144.0|
|||2013|172.0|
|||2014|164.0|
|||2015|163.0|
|||2016|133.0|
|||2017|130.0|
|||2018|154.0|
|||2019|181.0|
|||2020|149.0|
|Eşlerin yaş farkı:10|Adana, Mersin-TR62|2001|184.0|
|||2002|160.0|
|||2003|169.0|
|||2004|181.0|
|||2005|167.0|
|||2006|150.0|
|||2007|170.0|
|||2008|199.0|
|||2009|223.0|
|||2010|208.0|
|||2011|257.0|
|||2012|219.0|
|||2013|252.0|
|||2014|264.0|
|||2015|292.0|
|||2016|240.0|
|||2017|245.0|
|||2018|302.0|
|||2019|310.0|
|||2020|272.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|19.0|
|||2002|16.0|
|||2003|20.0|
|||2004|18.0|
|||2005|8.0|
|||2006|12.0|
|||2007|16.0|
|||2008|14.0|
|||2009|9.0|
|||2010|13.0|
|||2011|23.0|
|||2012|19.0|
|||2013|26.0|
|||2014|32.0|
|||2015|22.0|
|||2016|19.0|
|||2017|17.0|
|||2018|22.0|
|||2019|25.0|
|||2020|27.0|
||Ankara-TR51|2001|168.0|
|||2002|219.0|
|||2003|183.0|
|||2004|180.0|
|||2005|209.0|
|||2006|202.0|
|||2007|228.0|
|||2008|211.0|
|||2009|235.0|
|||2010|277.0|
|||2011|266.0|
|||2012|294.0|
|||2013|302.0|
|||2014|279.0|
|||2015|305.0|
|||2016|299.0|
|||2017|281.0|
|||2018|287.0|
|||2019|328.0|
|||2020|312.0|
||Antalya, Isparta, Burdur-TR61|2001|89.0|
|||2002|118.0|
|||2003|106.0|
|||2004|102.0|
|||2005|112.0|
|||2006|117.0|
|||2007|140.0|
|||2008|113.0|
|||2009|157.0|
|||2010|180.0|
|||2011|206.0|
|||2012|182.0|
|||2013|173.0|
|||2014|216.0|
|||2015|212.0|
|||2016|187.0|
|||2017|201.0|
|||2018|204.0|
|||2019|203.0|
|||2020|206.0|
||Aydın, Denizli, Muğla-TR32|2001|135.0|
|||2002|132.0|
|||2003|153.0|
|||2004|128.0|
|||2005|133.0|
|||2006|142.0|
|||2007|151.0|
|||2008|158.0|
|||2009|188.0|
|||2010|210.0|
|||2011|210.0|
|||2012|206.0|
|||2013|201.0|
|||2014|221.0|
|||2015|213.0|
|||2016|209.0|
|||2017|206.0|
|||2018|193.0|
|||2019|226.0|
|||2020|199.0|
||Balıkesir, Çanakkale-TR22|2001|74.0|
|||2002|82.0|
|||2003|85.0|
|||2004|76.0|
|||2005|72.0|
|||2006|75.0|
|||2007|76.0|
|||2008|77.0|
|||2009|97.0|
|||2010|93.0|
|||2011|106.0|
|||2012|91.0|
|||2013|77.0|
|||2014|107.0|
|||2015|90.0|
|||2016|97.0|
|||2017|89.0|
|||2018|108.0|
|||2019|114.0|
|||2020|81.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|109.0|
|||2002|109.0|
|||2003|129.0|
|||2004|125.0|
|||2005|119.0|
|||2006|138.0|
|||2007|133.0|
|||2008|126.0|
|||2009|156.0|
|||2010|167.0|
|||2011|188.0|
|||2012|187.0|
|||2013|185.0|
|||2014|191.0|
|||2015|196.0|
|||2016|213.0|
|||2017|202.0|
|||2018|217.0|
|||2019|268.0|
|||2020|198.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|15.0|
|||2002|10.0|
|||2003|12.0|
|||2004|17.0|
|||2005|17.0|
|||2006|18.0|
|||2007|11.0|
|||2008|14.0|
|||2009|21.0|
|||2010|21.0|
|||2011|17.0|
|||2012|18.0|
|||2013|22.0|
|||2014|16.0|
|||2015|24.0|
|||2016|37.0|
|||2017|26.0|
|||2018|28.0|
|||2019|26.0|
|||2020|21.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|65.0|
|||2002|82.0|
|||2003|65.0|
|||2004|45.0|
|||2005|64.0|
|||2006|43.0|
|||2007|40.0|
|||2008|71.0|
|||2009|57.0|
|||2010|88.0|
|||2011|85.0|
|||2012|101.0|
|||2013|114.0|
|||2014|90.0|
|||2015|112.0|
|||2016|99.0|
|||2017|101.0|
|||2018|115.0|
|||2019|147.0|
|||2020|120.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|91.0|
|||2002|100.0|
|||2003|103.0|
|||2004|74.0|
|||2005|115.0|
|||2006|107.0|
|||2007|101.0|
|||2008|89.0|
|||2009|145.0|
|||2010|139.0|
|||2011|154.0|
|||2012|178.0|
|||2013|168.0|
|||2014|181.0|
|||2015|143.0|
|||2016|193.0|
|||2017|157.0|
|||2018|208.0|
|||2019|236.0|
|||2020|192.0|
||İstanbul-TR10|2001|512.0|
|||2002|546.0|
|||2003|539.0|
|||2004|505.0|
|||2005|600.0|
|||2006|555.0|
|||2007|520.0|
|||2008|570.0|
|||2009|634.0|
|||2010|676.0|
|||2011|699.0|
|||2012|748.0|
|||2013|744.0|
|||2014|782.0|
|||2015|807.0|
|||2016|714.0|
|||2017|746.0|
|||2018|796.0|
|||2019|889.0|
|||2020|706.0|
||İzmir-TR31|2001|247.0|
|||2002|246.0|
|||2003|245.0|
|||2004|238.0|
|||2005|252.0|
|||2006|259.0|
|||2007|248.0|
|||2008|248.0|
|||2009|289.0|
|||2010|335.0|
|||2011|314.0|
|||2012|344.0|
|||2013|340.0|
|||2014|325.0|
|||2015|345.0|
|||2016|327.0|
|||2017|318.0|
|||2018|331.0|
|||2019|381.0|
|||2020|290.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|21.0|
|||2002|32.0|
|||2003|16.0|
|||2004|20.0|
|||2005|21.0|
|||2006|16.0|
|||2007|18.0|
|||2008|19.0|
|||2009|32.0|
|||2010|22.0|
|||2011|21.0|
|||2012|23.0|
|||2013|24.0|
|||2014|29.0|
|||2015|27.0|
|||2016|15.0|
|||2017|25.0|
|||2018|38.0|
|||2019|17.0|
|||2020|30.0|
||Kayseri, Sivas, Yozgat-TR72|2001|75.0|
|||2002|87.0|
|||2003|73.0|
|||2004|70.0|
|||2005|75.0|
|||2006|68.0|
|||2007|81.0|
|||2008|74.0|
|||2009|83.0|
|||2010|86.0|
|||2011|93.0|
|||2012|112.0|
|||2013|112.0|
|||2014|129.0|
|||2015|145.0|
|||2016|114.0|
|||2017|103.0|
|||2018|124.0|
|||2019|132.0|
|||2020|130.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|53.0|
|||2002|72.0|
|||2003|45.0|
|||2004|66.0|
|||2005|68.0|
|||2006|62.0|
|||2007|68.0|
|||2008|63.0|
|||2009|83.0|
|||2010|90.0|
|||2011|71.0|
|||2012|72.0|
|||2013|79.0|
|||2014|67.0|
|||2015|95.0|
|||2016|88.0|
|||2017|71.0|
|||2018|90.0|
|||2019|85.0|
|||2020|84.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|91.0|
|||2002|87.0|
|||2003|94.0|
|||2004|99.0|
|||2005|107.0|
|||2006|98.0|
|||2007|122.0|
|||2008|134.0|
|||2009|131.0|
|||2010|135.0|
|||2011|134.0|
|||2012|158.0|
|||2013|168.0|
|||2014|185.0|
|||2015|174.0|
|||2016|155.0|
|||2017|195.0|
|||2018|188.0|
|||2019|237.0|
|||2020|180.0|
||Konya, Karaman-TR52|2001|63.0|
|||2002|64.0|
|||2003|50.0|
|||2004|66.0|
|||2005|64.0|
|||2006|54.0|
|||2007|62.0|
|||2008|58.0|
|||2009|68.0|
|||2010|73.0|
|||2011|89.0|
|||2012|84.0|
|||2013|99.0|
|||2014|74.0|
|||2015|93.0|
|||2016|81.0|
|||2017|99.0|
|||2018|90.0|
|||2019|118.0|
|||2020|103.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|29.0|
|||2002|38.0|
|||2003|29.0|
|||2004|48.0|
|||2005|45.0|
|||2006|40.0|
|||2007|33.0|
|||2008|29.0|
|||2009|52.0|
|||2010|43.0|
|||2011|44.0|
|||2012|55.0|
|||2013|51.0|
|||2014|55.0|
|||2015|56.0|
|||2016|65.0|
|||2017|46.0|
|||2018|54.0|
|||2019|81.0|
|||2020|62.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|82.0|
|||2002|109.0|
|||2003|109.0|
|||2004|111.0|
|||2005|95.0|
|||2006|99.0|
|||2007|98.0|
|||2008|108.0|
|||2009|116.0|
|||2010|123.0|
|||2011|133.0|
|||2012|129.0|
|||2013|132.0|
|||2014|136.0|
|||2015|128.0|
|||2016|104.0|
|||2017|116.0|
|||2018|137.0|
|||2019|158.0|
|||2020|133.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|5.0|
|||2002|12.0|
|||2003|8.0|
|||2004|8.0|
|||2005|9.0|
|||2006|8.0|
|||2007|14.0|
|||2008|13.0|
|||2009|8.0|
|||2010|19.0|
|||2011|18.0|
|||2012|28.0|
|||2013|16.0|
|||2014|20.0|
|||2015|16.0|
|||2016|20.0|
|||2017|31.0|
|||2018|31.0|
|||2019|31.0|
|||2020|29.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|80.0|
|||2002|98.0|
|||2003|91.0|
|||2004|98.0|
|||2005|83.0|
|||2006|68.0|
|||2007|83.0|
|||2008|82.0|
|||2009|87.0|
|||2010|109.0|
|||2011|103.0|
|||2012|97.0|
|||2013|118.0|
|||2014|121.0|
|||2015|113.0|
|||2016|102.0|
|||2017|102.0|
|||2018|113.0|
|||2019|121.0|
|||2020|123.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|20.0|
|||2002|18.0|
|||2003|35.0|
|||2004|21.0|
|||2005|26.0|
|||2006|21.0|
|||2007|29.0|
|||2008|33.0|
|||2009|29.0|
|||2010|48.0|
|||2011|29.0|
|||2012|29.0|
|||2013|49.0|
|||2014|56.0|
|||2015|52.0|
|||2016|44.0|
|||2017|64.0|
|||2018|65.0|
|||2019|88.0|
|||2020|72.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|34.0|
|||2002|47.0|
|||2003|62.0|
|||2004|69.0|
|||2005|46.0|
|||2006|66.0|
|||2007|43.0|
|||2008|67.0|
|||2009|60.0|
|||2010|73.0|
|||2011|80.0|
|||2012|68.0|
|||2013|91.0|
|||2014|96.0|
|||2015|92.0|
|||2016|79.0|
|||2017|72.0|
|||2018|107.0|
|||2019|117.0|
|||2020|89.0|
||Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90|2001|65.0|
|||2002|71.0|
|||2003|67.0|
|||2004|70.0|
|||2005|66.0|
|||2006|58.0|
|||2007|76.0|
|||2008|50.0|
|||2009|68.0|
|||2010|71.0|
|||2011|90.0|
|||2012|80.0|
|||2013|81.0|
|||2014|75.0|
|||2015|81.0|
|||2016|93.0|
|||2017|98.0|
|||2018|92.0|
|||2019|109.0|
|||2020|92.0|
||Van, Muş, Bitlis, Hakkari-TRB2|2001|5.0|
|||2002|5.0|
|||2003|8.0|
|||2004|7.0|
|||2005|6.0|
|||2006|4.0|
|||2007|9.0|
|||2008|11.0|
|||2009|8.0|
|||2010|11.0|
|||2011|14.0|
|||2012|11.0|
|||2013|15.0|
|||2014|26.0|
|||2015|9.0|
|||2016|26.0|
|||2017|19.0|
|||2018|22.0|
|||2019|33.0|
|||2020|39.0|
||Zonguldak, Karabük, Bartın-TR81|2001|34.0|
|||2002|35.0|
|||2003|46.0|
|||2004|31.0|
|||2005|31.0|
|||2006|31.0|
|||2007|49.0|
|||2008|34.0|
|||2009|49.0|
|||2010|33.0|
|||2011|32.0|
|||2012|31.0|
|||2013|29.0|
|||2014|51.0|
|||2015|43.0|
|||2016|29.0|
|||2017|40.0|
|||2018|51.0|
|||2019|57.0|
|||2020|44.0|
|Eşlerin yaş farkı:11+|Adana, Mersin-TR62|2001|527.0|
|||2002|589.0|
|||2003|570.0|
|||2004|572.0|
|||2005|572.0|
|||2006|556.0|
|||2007|616.0|
|||2008|652.0|
|||2009|718.0|
|||2010|722.0|
|||2011|832.0|
|||2012|862.0|
|||2013|849.0|
|||2014|899.0|
|||2015|904.0|
|||2016|813.0|
|||2017|820.0|
|||2018|981.0|
|||2019|1005.0|
|||2020|828.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|49.0|
|||2002|51.0|
|||2003|69.0|
|||2004|63.0|
|||2005|71.0|
|||2006|58.0|
|||2007|57.0|
|||2008|65.0|
|||2009|73.0|
|||2010|69.0|
|||2011|73.0|
|||2012|79.0|
|||2013|82.0|
|||2014|77.0|
|||2015|52.0|
|||2016|73.0|
|||2017|69.0|
|||2018|105.0|
|||2019|95.0|
|||2020|76.0|
||Ankara-TR51|2001|563.0|
|||2002|628.0|
|||2003|599.0|
|||2004|634.0|
|||2005|672.0|
|||2006|670.0|
|||2007|677.0|
|||2008|657.0|
|||2009|778.0|
|||2010|856.0|
|||2011|813.0|
|||2012|891.0|
|||2013|867.0|
|||2014|921.0|
|||2015|866.0|
|||2016|840.0|
|||2017|825.0|
|||2018|834.0|
|||2019|972.0|
|||2020|800.0|
||Antalya, Isparta, Burdur-TR61|2001|376.0|
|||2002|430.0|
|||2003|398.0|
|||2004|382.0|
|||2005|465.0|
|||2006|484.0|
|||2007|474.0|
|||2008|455.0|
|||2009|550.0|
|||2010|641.0|
|||2011|713.0|
|||2012|624.0|
|||2013|669.0|
|||2014|749.0|
|||2015|776.0|
|||2016|678.0|
|||2017|677.0|
|||2018|727.0|
|||2019|843.0|
|||2020|669.0|
||Aydın, Denizli, Muğla-TR32|2001|454.0|
|||2002|504.0|
|||2003|527.0|
|||2004|489.0|
|||2005|535.0|
|||2006|576.0|
|||2007|516.0|
|||2008|583.0|
|||2009|617.0|
|||2010|661.0|
|||2011|702.0|
|||2012|708.0|
|||2013|707.0|
|||2014|785.0|
|||2015|815.0|
|||2016|738.0|
|||2017|755.0|
|||2018|812.0|
|||2019|853.0|
|||2020|736.0|
||Balıkesir, Çanakkale-TR22|2001|258.0|
|||2002|260.0|
|||2003|288.0|
|||2004|301.0|
|||2005|305.0|
|||2006|274.0|
|||2007|285.0|
|||2008|271.0|
|||2009|322.0|
|||2010|350.0|
|||2011|363.0|
|||2012|345.0|
|||2013|336.0|
|||2014|375.0|
|||2015|416.0|
|||2016|337.0|
|||2017|358.0|
|||2018|357.0|
|||2019|422.0|
|||2020|320.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|349.0|
|||2002|357.0|
|||2003|420.0|
|||2004|387.0|
|||2005|415.0|
|||2006|421.0|
|||2007|445.0|
|||2008|426.0|
|||2009|468.0|
|||2010|522.0|
|||2011|552.0|
|||2012|581.0|
|||2013|638.0|
|||2014|635.0|
|||2015|567.0|
|||2016|633.0|
|||2017|622.0|
|||2018|647.0|
|||2019|648.0|
|||2020|592.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|79.0|
|||2002|63.0|
|||2003|65.0|
|||2004|50.0|
|||2005|54.0|
|||2006|48.0|
|||2007|67.0|
|||2008|63.0|
|||2009|89.0|
|||2010|82.0|
|||2011|83.0|
|||2012|85.0|
|||2013|78.0|
|||2014|93.0|
|||2015|96.0|
|||2016|79.0|
|||2017|55.0|
|||2018|87.0|
|||2019|109.0|
|||2020|67.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|178.0|
|||2002|172.0|
|||2003|212.0|
|||2004|176.0|
|||2005|200.0|
|||2006|188.0|
|||2007|197.0|
|||2008|187.0|
|||2009|249.0|
|||2010|283.0|
|||2011|301.0|
|||2012|285.0|
|||2013|332.0|
|||2014|327.0|
|||2015|349.0|
|||2016|298.0|
|||2017|322.0|
|||2018|370.0|
|||2019|386.0|
|||2020|377.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|328.0|
|||2002|330.0|
|||2003|351.0|
|||2004|393.0|
|||2005|362.0|
|||2006|363.0|
|||2007|370.0|
|||2008|391.0|
|||2009|412.0|
|||2010|469.0|
|||2011|503.0|
|||2012|531.0|
|||2013|548.0|
|||2014|544.0|
|||2015|566.0|
|||2016|631.0|
|||2017|554.0|
|||2018|680.0|
|||2019|707.0|
|||2020|643.0|
||İstanbul-TR10|2001|1695.0|
|||2002|1907.0|
|||2003|1715.0|
|||2004|1768.0|
|||2005|2023.0|
|||2006|1920.0|
|||2007|1882.0|
|||2008|1808.0|
|||2009|2115.0|
|||2010|2131.0|
|||2011|2161.0|
|||2012|2284.0|
|||2013|2254.0|
|||2014|2438.0|
|||2015|2224.0|
|||2016|2180.0|
